dimensions,n_parties,threshold,patronage,polarization,avg_mttf,avg_gallagher,std_mttf
3,20,0.05,0.9,Uniform,4.9124202931559955,0.008448189331554227,0.471631155115485
3,20,0.05,0.9,Symmetric,4.579482027197931,0.0016488027844211797,0.9495190609108733
3,20,0.05,0.9,Asymmetric,5.0,0.00768133154162124,0.0
3,20,0.1,0.0,Uniform,4.965045860879757,0.3943648882198472,0.18823379985401711
3,20,0.1,0.0,Symmetric,2.9982226706820034,0.09475342093623997,1.342304967048754
3,20,0.1,0.0,Asymmetric,4.992151497447474,0.15130206341290006,0.03699131000285184
3,20,0.1,0.3,Uniform,3.9201782051763447,0.213556743879029,0.7303492072800941
3,20,0.1,0.3,Symmetric,3.463459161830903,0.07576016929357217,1.4076181915613826
3,20,0.1,0.3,Asymmetric,4.984209987909501,0.13277851791838693,0.06810301394675165
3,20,0.1,0.6,Uniform,3.8967403195314745,0.08644634706223454,0.8323003705741463
3,20,0.1,0.6,Symmetric,4.212846111768213,0.03281674880639576,1.0876489619647363
3,20,0.1,0.6,Asymmetric,5.0,0.0971184984128904,0.0
3,20,0.1,0.9,Uniform,4.794678989131392,0.014592538246671255,0.6794977850107472
3,20,0.1,0.9,Symmetric,4.90997472366527,0.007717362972380931,0.4636286267879745
3,20,0.1,0.9,Asymmetric,5.0,0.025347731174057534,0.0
5,5,0.0,0.0,Uniform,2.876988533357862,8.957118297386656E-4,0.6513063626732428
5,5,0.0,0.0,Symmetric,2.928504086957318,8.343757896611624E-4,1.1378353853387817
5,5,0.0,0.0,Asymmetric,4.8399589316225935,9.9175154604892E-4,0.5524715802162231
5,5,0.0,0.3,Uniform,2.769713614010711,9.61718926843871E-4,1.3323565519040472
5,5,0.0,0.3,Symmetric,3.407859388606964,7.055181333227469E-4,1.256562127583775
5,5,0.0,0.3,Asymmetric,5.0,9.924738058647087E-4,0.0
5,5,0.0,0.6,Uniform,4.637108201826434,8.82505293671802E-4,0.9582395943121158
5,5,0.0,0.6,Symmetric,4.44126667904989,5.522569616463974E-4,1.1034481973793768
5,5,0.0,0.6,Asymmetric,5.0,7.938284579152831E-4,0.0
5,5,0.0,0.9,Uniform,5.0,2.868221400031892E-4,0.0
5,5,0.0,0.9,Symmetric,5.0,9.66666666666682E-5,0.0
5,5,0.0,0.9,Asymmetric,5.0,2.3014335338009874E-4,0.0
5,5,0.05,0.0,Uniform,3.005049787271412,0.00969996416879092,0.9055699239846287
5,5,0.05,0.0,Symmetric,3.4930340201384165,0.014376735097715114,1.2625409667532073
5,5,0.05,0.0,Asymmetric,4.871282009799423,0.06397597703355486,0.4870886289011442
5,5,0.05,0.3,Uniform,3.755354481127797,0.015158115403422934,1.2908808458178738
5,5,0.05,0.3,Symmetric,3.5815479042221385,0.009836544124872733,1.4139223266999559
5,5,0.05,0.3,Asymmetric,4.825372962203474,0.04107283943837023,0.7252682091382949
5,5,0.05,0.6,Uniform,4.5532038865814455,0.012001101345409462,0.8799662647842531
5,5,0.05,0.6,Symmetric,4.802174603490366,0.006216305171368989,0.7422993711105846
5,5,0.05,0.6,Asymmetric,4.888307302990151,0.016915482830053966,0.6014835811513752
5,5,0.05,0.9,Uniform,5.0,0.002822953763756601,0.0
5,5,0.05,0.9,Symmetric,5.0,1.247834294751476E-4,0.0
5,5,0.05,0.9,Asymmetric,5.0,0.005819133197367048,0.0
5,5,0.1,0.0,Uniform,3.3078295727786022,0.04446809748967592,0.8142504230223112
5,5,0.1,0.0,Symmetric,3.8808370789124225,0.03779800828840471,1.4228623557115736
5,5,0.1,0.0,Asymmetric,4.834205238541261,0.11048530811689611,0.6217443495388497
5,5,0.1,0.3,Uniform,3.2701581958799437,0.05274076399686166,1.4418679383496982
5,5,0.1,0.3,Symmetric,4.378369271745205,0.02144433225192397,1.166712149090173
5,5,0.1,0.3,Asymmetric,5.0,0.08174305519580066,0.0
5,5,0.1,0.6,Uniform,4.7157254310670185,0.03912949090353164,0.8725777583529292
5,5,0.1,0.6,Symmetric,4.352699928910156,0.006632229979265534,1.1934928545452637
5,5,0.1,0.6,Asymmetric,5.0,0.03418054310155103,0.0
5,5,0.1,0.9,Uniform,5.0,0.003313402717600571,0.0
5,5,0.1,0.9,Symmetric,5.0,0.0034471561674876286,0.0
5,5,0.1,0.9,Asymmetric,5.0,0.007430546299799461,0.0
5,8,0.0,0.0,Uniform,2.8862804837178673,0.0011215524438630562,0.6600230766775782
